state_code,zip_code,city,name,labels,founded_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,has_RoundABCD,has_Investor,has_Seed
CA,94111,San Francisco,Elastra,0,1/1/2007,8/15/2007,8/5/2008,0.6192,1.5945,8,2,14600000,3,software,0,0,1,1,0,0,2.0,1,1,0,0
CA,95134,San Jose,RPO,0,1/1/2005,1/24/2006,9/13/2010,1.063,5.7014,0,3,44000000,0,hardware,0,0,0,1,1,0,4.5,1,1,0,0
CA,94107,San Francisco,Fotomoto,1,10/1/2008,12/1/2008,5/26/2011,0.1671,2.6493,10,3,1822922,3,ecommerce,0,1,1,0,0,0,2.3333,1,1,1,0
NY,10010,New York,Peer39,1,3/1/2006,3/1/2006,1/24/2012,0.0,5.9041,18,7,29915001,5,advertising,1,1,1,1,1,0,2.75,1,1,1,0
GA,30303,Atlanta,Vitrue,1,5/1/2006,5/1/2006,2/17/2011,0.0,4.8027,26,4,33000000,5,enterprise,0,0,1,1,1,0,3.0,1,1,0,0
NH,3101,Manchester,Trendslide,1,8/1/2011,8/1/2011,3/1/2012,0.0,0.5836,9,2,125000,2,mobile,0,1,0,0,0,0,1.0,0,0,1,1
CA,94025,Menlo Park,PublicEarth,0,1/1/2008,2/8/2008,5/21/2010,0.1041,2.3863,7,2,4000000,2,travel,1,0,1,0,0,0,1.0,1,1,1,0
WA,98102,Seattle,Azaleos,1,5/11/2004,11/6/2007,11/6/2007,3.4904,3.4904,10,1,10000000,3,enterprise,0,0,0,0,1,0,2.0,1,1,0,0
CA,94089,Sunnyvale,Efficient Frontier,1,1/1/2002,8/31/2006,8/31/2006,4.6658,4.6658,25,1,6000000,4,advertising,0,0,0,0,1,0,3.0,1,1,0,0
CA,94085,Sunnyvale,NetDevices,1,1/1/2003,8/16/2005,8/16/2005,2.6247,2.6247,4,1,25000000,0,software,0,0,0,1,0,0,5.0,1,1,0,0
NY,100011,New York,Go Try It On,1,12/1/2009,11/4/2010,11/13/2012,0.926,2.9534,2,3,3750000,3,fashion,0,1,1,0,0,0,2.0,1,1,1,0
MA,2139,Cambridge,Performable,1,10/17/2009,1/15/2010,1/15/2010,0.2466,0.2466,9,1,3000000,2,software,0,0,1,0,0,0,1.0,1,1,0,0
CA,94607,San Francisco,Appstores.com,1,5/24/2010,8/1/2010,8/1/2011,0.189,1.189,6,2,1155000,2,software,0,1,0,0,0,0,9.5,1,0,1,1
CA,94404,San Mateo,Fortify Software,1,10/1/2002,12/15/2005,12/15/2005,3.2082,3.2082,11,1,10000000,2,software,0,0,0,0,0,1,2.0,1,1,0,0
CA,94080,South San Francisco,iCurrent,1,1/1/2006,8/1/2008,8/1/2008,2.5836,2.5836,5,1,3000000,1,web,0,0,1,0,0,0,1.0,1,1,0,0
MA,2210,Boston,AisleBuyer,1,1/1/2009,11/23/2010,6/13/2011,1.8932,2.4466,4,2,11500000,3,mobile,0,0,0,0,0,0,1.0,1,0,0,0
TX,78731,Austin,Indeed,1,11/1/2004,8/1/2005,8/1/2005,0.7479,0.7479,12,1,5000000,5,web,0,0,1,0,0,0,3.0,1,1,0,0
MA,2451,Waltham,Colubris Networks,1,1/1/2000,3/8/2005,10/23/2006,5.1863,6.8137,9,2,29000000,1,public_relations,1,0,0,0,0,1,5.0,1,1,1,0
CA,94103,San Francisco,Mashery,1,5/1/2006,1/1/2007,7/23/2012,0.6712,6.2329,37,6,34700000,4,enterprise,1,1,1,1,1,1,5.0,1,1,1,0
CA,94301,Palo Alto,Transparency Software,0,1/1/2004,3/9/2005,7/1/2007,1.1863,3.4986,0,2,12050000,0,software,1,0,1,0,0,0,2.0,1,1,1,0
CA,95128,Palo Alto,Viewdle,1,1/1/2006,3/1/2008,10/5/2010,2.1644,4.7616,13,3,12000000,2,analytics,1,0,1,1,0,0,2.0,1,1,1,0
CA,92656,Aliso Viejo,Enclarity,1,2/1/2005,3/10/2009,3/10/2009,4.1041,4.1041,18,1,5500000,1,consulting,0,0,0,0,1,0,2.0,1,1,0,0
CA,94089,Sunnyvale,Virsto Software,1,7/1/2007,6/26/2009,8/25/2011,1.989,4.1534,10,3,24000000,4,software,0,0,1,1,0,0,3.3333,1,1,0,0
MO,64106,Kansas City,Handmark,1,7/1/2000,9/12/2005,9/7/2006,5.2027,6.189,6,2,10000000,2,mobile,0,0,1,1,0,0,4.5,1,1,0,0
MA,1887,Wilmington,Viacor,0,12/1/1999,9/12/2002,11/10/2010,2.7836,10.9507,10,3,19009671,1,biotech,0,0,0,1,0,0,2.0,1,1,0,0
CA,94111,San Francisco,Carbonetworks,0,1/1/2005,7/1/2008,7/1/2008,3.4986,3.4986,6,1,5000000,1,cleantech,0,0,1,0,0,0,1.0,1,1,0,0
WA,98033-6314,Kirkland,SchemaLogic,1,1/1/2001,1/17/2005,4/20/2010,4.0466,9.3041,2,5,18914576,1,enterprise,1,0,0,0,1,0,3.0,1,1,1,0
FL,33609,Tampa,Skyway Software,0,1/1/2001,5/16/2007,5/16/2007,6.3726,6.3726,0,1,4000000,0,software,1,0,0,0,0,0,3.0,0,0,1,1
MA,02111-1720,Boston,CardStar,1,12/1/2008,3/30/2010,9/13/2011,1.3259999999999998,2.7836,5,3,2030882,2,software,0,0,1,0,0,0,3.0,1,1,0,0
CA,94501,Alameda,Makani Power,1,1/1/2006,8/23/2008,8/23/2008,2.6438,2.6438,4,1,5000000,2,cleantech,0,0,0,1,0,0,1.0,1,1,0,0
WA,98011,Bothell,Myrio,0,12/1/1999,1/1/2001,1/1/2001,1.0877,1.0877,5,1,20500000,0,software,1,0,0,0,0,0,4.0,1,0,1,1
CO,80302,Boulder,Intela,1,2/2/2006,1/18/2010,8/9/2012,3.9616,6.5205,4,2,13250000,4,advertising,1,0,0,0,0,0,2.0,0,0,1,1
CA,94403-1855,San Mateo,Sana Security,1,1/1/2000,4/2/2007,4/2/2007,7.2548,7.2548,7,1,12000000,1,security,0,0,0,0,0,0,2.0,1,0,0,0
CA,94104,San Francisco,Sportgenic,1,9/1/2005,1/1/2007,9/9/2008,1.3342,3.0247,9,3,11489687,2,advertising,0,1,1,1,0,0,3.3333,1,1,1,0
CA,94105,San Francisco,Lolapps,1,1/1/2008,9/5/2008,9/5/2008,0.6795,0.6795,15,1,4000000,3,web,0,0,1,0,0,0,3.0,1,1,0,0
CA,94087,Sunnyvale,Behavio,1,6/12/2012,6/1/2012,6/1/2012,-0.0301,-0.0301,3,1,355000,1,software,0,1,0,0,0,0,1.0,0,0,1,1
FL,33626,Tampa,Infinity Box,1,1/1/2006,1/1/2006,4/1/2006,0.0,0.2466,10,2,118000,3,web,0,1,0,0,0,0,1.5,1,0,1,1
CA,94103,San Francisco,adBrite,1,1/1/2003,9/1/2004,5/1/2012,1.6685,9.337,17,4,40400000,3,advertising,0,0,1,1,1,1,1.6667,1,1,0,0
TX,75001,Dallas,Texert,0,1/1/2007,10/21/2008,10/21/2008,1.8055,1.8055,1,1,3000000,0,software,0,0,1,0,0,0,1.0,1,1,0,0
CA,94538,Fremont,Mendocino Software,0,1/1/2003,9/12/2005,1/1/2007,2.6986,4.0027,2,2,19700000,1,software,1,0,0,1,0,0,4.0,1,1,1,0
CA,95051,Santa Clara,QuikCycle,0,1/1/1998,3/1/2007,3/12/2007,9.1671,9.1973,0,2,17800000,0,software,1,0,0,0,0,0,1.0,1,0,1,1
CA,94107,San Francisco,Instagram,1,3/1/2010,3/5/2010,4/5/2012,0.011,2.0986,12,3,57500000,3,photo_video,0,1,1,1,0,0,4.0,1,1,1,0
NY,10004,New York,Motionbox,1,1/1/2006,9/1/2006,1/14/2009,0.6658,3.0384,10,3,17200000,5,games_video,0,0,1,1,1,0,2.6667,1,1,0,0
MA,2138,Cambridge,AccelGolf,0,8/1/2008,1/1/2008,12/4/2009,-0.5836,1.3425,4,7,457282,2,mobile,1,1,0,0,0,0,1.0,1,0,1,1
CA,94105,San Francisco,MoPub,1,9/9/2010,9/1/2010,9/20/2012,-0.0219,2.0329,11,4,18500000,3,mobile,0,1,1,1,0,0,2.25,1,1,1,0
NJ,8540,Princeton,DNP Green Technology,0,1/1/2008,1/17/2010,1/17/2010,2.0466,2.0466,2,1,12000000,0,cleantech,0,0,1,0,0,0,6.0,1,1,0,0
CO,80538,Loveland,Abound Solar,0,1/1/2007,7/6/2010,12/15/2010,3.5123,3.9562,5,2,510000000,3,cleantech,1,0,0,0,0,0,2.5,1,0,1,1
CA,94043,Mountain View,Trovix,1,1/1/2002,12/7/2005,9/6/2006,3.9342,4.6822,3,2,18250000,1,search,0,0,1,1,0,0,2.5,1,1,0,0
NY,10012,New York,Thumbplay,1,9/1/2004,10/30/2006,4/21/2010,2.1616,5.6384,13,4,41500019,5,music,0,0,0,0,1,0,4.0,1,1,0,0
WV,25430,Kearneysville,Plethora Technology,0,1/1/2000,6/9/2005,6/9/2005,5.4411,5.4411,1,1,1000000,0,software,0,0,1,0,0,0,3.0,0,1,0,0
CA,90025,Los Angeles,DailyStrength,1,4/1/2006,5/18/2007,5/18/2007,1.1288,1.1288,7,1,5000000,2,web,0,0,1,0,0,0,1.0,1,1,0,0
MI,48187,Canton,Danotek Motion Technologies,0,1/1/2001,11/19/2008,8/30/2011,7.8877,10.6658,2,3,42700000,1,cleantech,1,0,0,1,0,0,3.6667,1,1,1,0
CA,94041,Mountain View,Yub,0,1/1/2013,11/19/2013,11/19/2013,0.8822,0.8822,7,1,12000000,0,ecommerce,1,0,0,0,0,0,9.0,1,0,1,1
WA,98004,Bellevue,SNAPin Software,1,1/1/2003,7/11/2005,2/7/2006,2.526,3.1041,5,2,22300000,2,software,0,0,0,1,1,0,4.5,1,1,0,0
CA,95054,Santa Clara,Azuro,1,1/1/2002,1/1/2006,11/13/2009,4.0027,7.8712,5,2,10000000,1,semiconductor,1,0,0,1,0,0,4.0,1,1,1,0
DC,20007,Washington,ARPU,0,5/1/2005,7/1/2006,12/29/2009,1.1671,4.6658,1,3,15564591,0,advertising,1,0,0,1,1,0,3.5,1,1,1,0
CA,94105,San Francisco,BookFresh,1,1/1/2007,7/28/2009,7/28/2009,2.5726,2.5726,7,1,500000,2,web,0,1,0,0,0,0,5.0,1,0,1,1
CA,94110,San Francisco,Singly,1,12/21/2010,2/1/2011,4/23/2012,0.1151,1.3397,24,2,8950000,2,analytics,0,0,1,0,0,0,7.0,1,1,0,0
NY,10173,New York,TxVia,1,1/1/2006,10/1/2007,10/26/2010,1.7479,4.8192,8,4,55350000,2,finance,0,0,1,1,1,1,4.0,1,1,0,0
CA,94043,Mountain View,Blue Vector Systems,0,1/1/2002,9/21/2005,9/21/2005,3.7233,3.7233,1,1,4000000,0,public_relations,0,0,0,1,0,0,3.0,1,1,0,0
IL,60606,Chicago,Open Kernel Labs,1,1/1/2006,9/13/2007,7/6/2012,1.6986,6.5151,3,5,10764323,3,software,1,0,1,0,0,0,2.0,1,1,1,0
NJ,8873,Somerset,Elanti Systems,0,1/1/2007,5/29/2008,5/29/2008,1.4082,1.4082,1,1,5500000,1,software,1,0,0,0,0,0,3.0,1,0,1,1
CA,94105,San Francisco,Astrid,1,1/1/2008,4/13/2012,4/13/2012,4.2849,4.2849,7,1,400000,2,social,0,1,0,0,0,0,3.0,1,0,1,1
CA,94710,Berkeley,Nordic Windpower,0,1/1/2007,10/2/2007,1/5/2010,0.7507,3.0137,3,3,54000000,0,cleantech,1,0,0,0,1,0,2.6667,1,1,1,0
GA,30009,Alpharetta,Visiprise,0,1/1/1985,10/17/2005,10/17/2005,20.8055,20.8055,2,1,32000000,0,software,0,0,0,1,0,0,7.0,1,1,0,0
WA,98104,Seattle,Hubspan,1,1/1/2000,10/14/2005,10/14/2005,5.789,5.789,1,1,13000000,0,software,0,0,0,0,0,1,4.0,1,1,0,0
WA,98004,Bellevue,iConclude,1,1/1/2005,2/1/2005,4/10/2006,0.0849,1.2712,5,3,12500000,0,software,1,0,1,1,0,0,2.3333,1,1,1,0
CA,95128,San Jose,41st Parameter,1,1/1/2004,5/8/2006,4/11/2012,2.3507,8.2822,16,4,38064570,2,security,1,0,0,1,1,1,3.0,1,1,1,0
CA,94110,San Francisco,Aardvark,1,7/1/2007,1/1/2007,10/1/2008,-0.4959,1.2548,21,2,6000000,2,web,0,1,1,0,0,0,4.0,1,1,1,0
VA,22902,Charlottesville,Hotelicopter,0,6/1/2006,11/17/2008,3/31/2011,2.4658,4.8329,4,2,5000000,6,web,0,0,1,1,0,0,1.0,0,1,0,0
VA,20166,Dulles,Anystream,1,1/1/2000,1/1/2000,2/7/2007,0.0,7.1068,9,3,59000000,3,software,1,0,0,0,1,0,2.0,1,1,1,0
IL,60607,Chicago,CakeStyle,0,8/1/2011,8/13/2012,8/13/2012,1.0356,1.0356,2,1,1000000,2,web,0,1,0,0,0,0,1.0,0,0,1,1
CA,94110,San Francisco,Fluther,1,1/1/2007,9/21/2009,9/21/2009,2.7233,2.7233,5,1,600000,3,web,0,1,0,0,0,0,7.0,1,0,1,1
CT,6002,Bloomfield,Pocket Communications Northeast,0,1/1/2006,11/1/2008,2/20/2009,2.8356,3.1397,0,2,125000000,2,mobile,0,0,1,1,0,0,2.0,1,1,0,0
CA,60401,Santa Monica,Goodreads,1,1/15/2007,11/1/2007,12/9/2009,0.7945,2.9014,11,2,2750000,3,web,0,1,1,0,0,0,4.0,1,1,1,0
CA,95054,Santa Clara,Woven Systems,1,1/1/2003,12/1/2005,9/25/2007,2.9178,4.7342,1,2,30000000,0,network_hosting,0,0,1,1,0,0,2.5,1,1,0,0
CA,95035-6261,Milpitas,Kolorific,0,1/1/2003,1/5/2007,1/5/2007,4.0137,4.0137,0,1,7000000,0,semiconductor,0,0,0,0,1,0,1.0,0,1,0,0
CA,94025,Menlo Park,Krugle,1,1/1/2006,5/31/2006,5/31/2006,0.411,0.411,10,1,6100000,2,search,0,0,0,1,0,0,4.0,1,1,0,0
CA,92101,San Diego,Flud,0,10/1/2010,4/13/2011,9/1/2012,0.5315,1.9205,12,3,2100000,2,enterprise,1,1,0,0,0,0,4.0,1,0,1,1
CA,94103,San Francisco,Chomp,1,9/9/2009,11/1/2009,3/11/2010,0.1452,0.5014,10,2,2565000,3,mobile,0,1,1,0,0,0,3.5,1,1,1,0
CA,94010,Burlingame,Origen Therapeutics,0,1/1/1997,10/3/2007,10/3/2007,10.7589,10.7589,0,1,2000000,0,biotech,0,0,0,0,0,0,1.0,0,0,0,0
NC,27606,Raleigh,Inlet Technologies,1,1/1/2003,7/26/2005,9/8/2008,2.5671,5.6904,3,3,22400000,1,network_hosting,1,0,0,1,1,0,3.6667,1,1,1,0
NY,10011,New York,ShopWiki,1,6/1/2005,7/1/2006,7/1/2006,1.0822,1.0822,12,1,6250000,1,ecommerce,0,0,1,0,0,0,1.0,0,1,0,0
NY,10001,New York,Fondu,1,2/1/2010,11/1/2011,11/1/2011,1.7479,1.7479,4,1,575000,2,web,0,1,0,0,0,0,6.0,0,0,1,1
MA,2143,Somerville,Loudcaster,0,8/1/2009,8/1/2009,3/1/2010,0.0,0.5808,1,2,53000,1,web,0,1,0,0,0,0,1.0,1,0,1,1
CA,94065,Redwood City,TwoFish,1,1/1/2006,12/1/2006,10/10/2008,0.9151,2.7753,6,2,9500000,2,ecommerce,0,0,1,1,0,0,2.5,1,1,0,0
TX,78701,Austin,Workstreamer,0,10/1/2009,1/1/2009,7/27/2010,-0.7479,0.8192,7,2,3500000,2,enterprise,0,1,1,0,0,0,1.0,1,1,1,0
NY,10003,New York,Qwiki,1,10/1/2009,7/10/2010,3/31/2011,0.7726,1.4959,14,3,10500000,3,photo_video,1,0,1,0,0,0,6.3333,1,1,1,0
CA,94538,Fremont,Redwood Systems,1,1/1/2008,10/3/2008,5/30/2012,0.7562,4.4137,14,4,34250000,2,cleantech,1,0,1,1,1,0,2.25,1,1,1,0
MA,2451,Waltham,Artisan Pharma,1,1/1/2006,9/6/2006,7/20/2010,0.6795,4.5507,2,5,85381111,0,biotech,0,0,1,1,1,0,4.6667,1,1,0,0
MD,21093,Timonium,Bill Me Later,1,1/1/2000,3/1/2006,12/1/2007,6.1671,7.9205,6,3,100000000,3,web,1,0,1,0,0,0,2.5,1,1,1,0
PA,15213,Pittsburgh,Bueda,0,1/4/2009,1/1/2008,7/1/2010,-1.011,1.4877,3,2,125000,2,advertising,1,1,0,0,0,0,1.0,1,0,1,1
VA,20191,Reston,Defywire,0,1/1/2003,4/26/2005,3/27/2007,2.3178,4.2356,2,2,10600000,1,mobile,1,0,0,1,0,0,3.0,1,1,1,0
CA,94538,Fremont,Silicon Clocks,1,1/1/2004,6/2/2006,6/8/2009,2.4192,5.4384,2,3,26100000,1,semiconductor,1,0,0,1,0,0,3.5,1,1,1,0
NY,10019,New York,TheMarkets,1,1/1/2000,7/12/2007,7/12/2007,7.5315,7.5315,2,1,30000000,1,web,1,0,0,0,0,0,5.0,1,0,1,1
IL,60606,Chicago,Netgamix Inc,0,9/24/2010,10/15/2011,7/1/2012,1.0575,1.7699,6,3,132885,2,games_video,0,1,0,0,0,0,1.0,1,0,1,1
CA,95054,Santa Clara,Sentrigo,1,10/1/2006,5/8/2007,12/21/2010,0.6,4.2247,9,3,9500000,2,software,0,0,1,1,1,0,2.0,1,1,0,0
CA,94303,Palo Alto,Netli,1,1/1/2000,2/13/2006,2/13/2006,6.1233,6.1233,9,1,18000000,1,network_hosting,1,0,0,0,0,0,7.0,1,0,1,1
OH,45202,Cincinnati,Define My Style,0,2/1/2010,12/2/2011,12/2/2011,1.8329,1.8329,4,1,690000,1,web,0,1,0,0,0,0,3.0,1,0,1,1
GA,30305,Atlanta,Firethorn,1,1/1/2001,3/1/2006,1/2/2007,5.1644,6.0055,1,3,25131611,0,mobile,1,0,0,1,0,0,1.0,1,1,1,0
CA,95134,San Jose,Wellcore,0,1/1/2007,7/12/2010,7/12/2010,3.5288,3.5288,1,1,2000000,0,hardware,0,0,0,0,0,0,1.0,1,0,0,0
MA,2142,Cambridge,Taligen Therapeutics,1,1/1/2004,8/1/2005,8/23/2010,1.5836,6.6466,4,3,78750000,2,biotech,0,0,1,1,0,0,3.5,1,1,0,0
CA,94403,San Mateo,Adap.tv,1,11/1/2006,2/1/2007,3/28/2011,0.2521,4.4055,27,5,48500000,3,advertising,1,1,1,1,1,0,2.5,1,1,1,0
CA,94107,San Francisco,Current Media,0,1/1/2005,7/29/2005,7/29/2005,0.5726,0.5726,12,1,15000000,2,network_hosting,0,0,1,0,0,0,3.0,0,1,0,0
CA,95008,Campbell,ParAccel,1,1/1/2007,12/10/2007,4/25/2012,0.9397,5.3178,13,5,74000000,0,analytics,1,0,0,1,1,0,5.3333,1,1,1,0
CA,94107-4132,San Francisco,Arch Rock Corporation,1,1/1/2005,10/1/2005,5/2/2007,0.7479,2.3315,6,2,15000000,1,software,0,0,1,1,0,0,3.0,1,1,0,0
NY,10014,New York,SpiralFrog,0,1/1/2004,1/1/2006,12/1/2007,2.0027,3.9178,8,3,45000000,3,games_video,0,0,1,0,0,0,1.0,0,1,0,0
CA,95054,Santa Clara,Plusmo,1,6/1/2006,5/1/2008,5/1/2008,1.9178,1.9178,4,1,4410000,1,mobile,0,0,1,0,0,0,1.0,1,1,0,0
VA,20166,Sterling,ZipList,1,1/1/2010,1/1/2010,11/24/2010,0.0,0.8959,9,2,4500000,2,web,0,0,1,1,0,0,2.0,1,1,0,0
CA,94105,San Francisco,Involver,1,1/1/2007,9/2/2008,10/14/2010,1.6712,3.7863,11,3,11040000,2,software,0,0,1,1,1,0,2.5,1,1,0,0
CA,94107,San Francisco,Lionside,1,1/1/2009,11/19/2010,11/19/2010,1.8822,1.8822,6,1,1600000,2,games_video,0,0,1,0,0,0,3.0,1,1,0,0
NY,10011,New York,Game Trust,1,1/1/2002,6/1/2005,11/15/2005,3.4164,3.874,3,2,9000000,1,software,1,0,0,1,0,0,4.0,1,1,1,0
CA,94403,San Mateo,Nearbuy Systems,1,4/1/2010,7/21/2011,11/23/2012,1.3041,2.6493,4,3,3282327,2,analytics,1,0,0,0,0,0,2.0,1,0,1,1
CA,94404,Foster City,Visible Path,1,1/1/2002,3/1/2006,3/1/2006,4.1644,4.1644,5,2,24700000,5,web,0,0,1,1,0,0,4.0,1,1,0,0
GA,30308,Atlanta,VT Silicon,0,1/1/2002,9/12/2007,11/19/2008,5.6986,6.8877,2,2,8800000,0,semiconductor,1,0,1,0,0,0,1.0,1,1,1,0
CA,90025,Los Angeles,GetBack,0,9/1/2007,11/6/2008,11/6/2008,1.1836,1.1836,1,1,1700000,1,web,0,0,1,0,0,0,1.0,0,1,0,0
CA,94609,Oakland,Slipstream,0,6/1/2010,8/31/2010,8/31/2010,0.2493,0.2493,1,1,20000,2,web,0,1,0,0,0,0,1.0,0,0,1,1
CA,94538,Fremont,HipLogic,1,1/1/2005,2/8/2008,12/2/2009,3.1041,4.9205,10,2,11500000,5,mobile,0,0,1,1,0,0,2.5,1,1,0,0
